t,s,phi1,Ds,Dphi1,u
4.272,0.104710673726693,-7.57928791737166,-0.916391697669802,-1.43007421592113,-2.57990253654111
4.27333333333333,0.103492635427863,-7.58116944030992,-0.912809073252467,-1.39174949286191,-2.39722246715701
4.27466666666667,0.102279338284064,-7.58299991710835,-0.90909329030228,-1.35351023177422,-2.21855701803414
4.276,0.101070941474587,-7.58477945613664,-0.905248287917126,-1.3153527252363,-2.04400286880554
4.27733333333333,0.099867600120382,-7.58650816091737,-0.901278139990245,-1.27727324404089,-1.87366649717288
4.27866666666667,0.0986694652840652,-7.58818613012601,-0.897187055210238,-1.23926803719525,-1.70767627070273
4.28,0.0974766839699142,-7.58981345759093,-0.892979377061057,-1.20133333192114,-1.54617142339442
4.28133333333333,0.0962893991238724,-7.59139023229339,-0.88865958382202,-1.16346533365489,-1.38928454237672
4.28266666666667,0.0951077496335442,-7.59291653836755,-0.884232288567793,-1.1256602260473,-1.23713733207742
4.284,0.093931870328198,-7.59439245510046,-0.879702239168404,-1.08791417096367,-1.08984908360477
4.28533333333333,0.0927618919787647,-7.59581805693207,-0.875074318289233,-1.05022330848383,-0.947542630233555
4.28666666666667,0.0915979412978408,-7.59719341345521,-0.870353543391025,-1.01258375690218,-0.810344512179595
4.288,0.0904401409396839,-7.59851858941562,-0.865545066729875,-0.97499161272757,-0.678386411327031
4.28933333333333,0.0892886095002156,-7.59979364471193,-0.860654175357236,-0.937442950683372,-0.551803907098553
4.29066666666667,0.0881434615170208,-7.60101863439565,-0.855686291119921,-0.899933823707491,-0.430729229720928
4.292,0.0870048074693476,-7.60219360867121,-0.850646970660096,-0.862460262952343,-0.315285764777157
4.29333333333333,0.0858727537781074,-7.60331861289591,-0.845541905415287,-0.825018277784856,-0.205583539379661
4.29466666666667,0.0847474028058751,-7.60439368757996,-0.840376921618374,-0.787603855786478,-0.101709660756122
4.296,0.0836288528568879,-7.60541886838646,-0.835157980297594,-0.750212962753143,-0.00371765986745265
4.29733333333333,0.0825171981770487,-7.60639418613139,-0.829891177276548,-0.712841542695378,0.0883835110411513
4.29866666666667,0.0814125289539213,-7.60731966678364,-0.824582743174186,-0.675485517838151,0.174643957233378
4.3,0.0803149313167336,-7.60819533146501,-0.819239043404816,-0.638140788620967,0.255179524042554
4.30133333333333,0.0792244873363762,-7.60902119645015,-0.813866578178102,-0.600803233697823,0.330157578182916
4.30266666666667,0.0781412750254049,-7.60979727316664,-0.808471982499073,-0.563468709937309,0.399771461715576
4.304,0.0770653683380368,-7.61052356819494,-0.803062026168107,-0.526133052422451,0.46422574578181
4.30533333333333,0.0759968371701531,-7.61120008326841,-0.797643613780939,-0.488792074450817,0.523737651372813
4.30666666666667,0.074935747359298,-7.6118268152733,-0.792223784728664,-0.451441567534493,0.578539274050105
4.308,0.0738821606846793,-7.61240375624876,-0.786809713197732,-0.414077301400075,0.628870891829919
4.30933333333333,0.0728361348671678,-7.61293089338683,-0.781408708169951,-0.376695023988679,0.674974245652021
4.31066666666667,0.0717977030120415,-7.61340820716888,-0.77602868688222,-0.339290196709525,0.717092244990197
4.312,0.0707663924410562,-7.61383562702692,-0.770686386761788,-0.301853802270799,0.755467394423365
4.31333333333333,0.069741970802217,-7.6142131007765,-0.765385742144997,-0.264385032404835,0.790337652697981
4.31466666666667,0.0687244161753631,-7.61454059720672,-0.760124792175053,-0.226886530933394,0.821938834275754
