Var1,Var2
0.345,-0.0665554633808661
0.346,-0.0666245995936815
0.347,-0.066688267372628
0.348,-0.0667464177634899
0.349,-0.0667989912943052
0.35,-0.0668459244130473
0.351,-0.0668871564324727
0.352,-0.0669226329107816
0.353,-0.0669523070222569
0.354,-0.0669761408178711
0.355,-0.0669941032647222
0.356,-0.0670061630746871
0.357,-0.0670122820673694
0.358,-0.0670124152099983
0.359,-0.0670065133498345
0.36,-0.0669945224103432
0.361,-0.0669763816490976
0.362,-0.0669520249145863
0.363,-0.0669213823206553
0.364,-0.0668843795207427
0.365,-0.0668409361045605
0.366,-0.0667909652240454
0.367,-0.0667343744067267
0.368,-0.0666710666206299
0.369,-0.0666009417724274
0.37,-0.066523899988017
0.371,-0.0664398460059265
0.372,-0.066348692859047
0.373,-0.0662503662561108
0.374,-0.0661448109849899
0.375,-0.0660319958601264
0.376,-0.0659119129408237
0.377,-0.0657845712164189
0.378,-0.0656499896745447
0.379,-0.0655081952274841
0.38,-0.0653592258609108
0.381,-0.0652031328853431
0.382,-0.0650399758024469
0.383,-0.0648698120797077
0.384,-0.0646926924777365
0.385,-0.0645086669760851
0.386,-0.0643177921902729
0.387,-0.0641201292510881
0.388,-0.0639157352033942
0.389,-0.0637046588365057
0.39,-0.0634869420275148
0.391,-0.0632626199390494
0.392,-0.0630317201525624
0.393,-0.0627942651910528
0.394,-0.0625502772331771
0.395,-0.0622997809800966
0.396,-0.0620428030676228
0.397,-0.0617793694643494
0.398,-0.0615095054777234
0.399,-0.0612332397616905
0.4,-0.0609506071746514
0.401,-0.0606616477798281
0.402,-0.0603664057107541
0.403,-0.0600649312522926
0.404,-0.0597572848576051
0.405,-0.0594435389982342
0.406,-0.0591237757346236
0.407,-0.0587980828745723
0.408,-0.058466551887881
0.409,-0.0581292768733234
0.41,-0.057786354243361
0.411,-0.0574378854149155
0.412,-0.0570839826256799
0.413,-0.056724774568067
0.414,-0.05636040937727
0.415,-0.0559910549001452
0.416,-0.0556168950848184
0.417,-0.0552381214089827
0.418,-0.0548549241861148
0.419,-0.0544674906106588
0.42,-0.0540760078488692
0.421,-0.0536806631314026
0.422,-0.0532816386903095
0.423,-0.0528791078494018
0.424,-0.0524732371846338
0.425,-0.0520641916196361
0.426,-0.0516521362051072
0.427,-0.051237232834983
0.428,-0.0508196354030883
0.429,-0.0503994877442369
0.43,-0.0499769265372915
0.431,-0.049552087399464
0.432,-0.0491251090713359
0.433,-0.0486961333210148
0.434,-0.048265302951371
0.435,-0.0478327605280514
0.436,-0.0473986491796204
0.437,-0.046963114735607
0.438,-0.0465263061862065
0.439,-0.0460883724765111
0.44,-0.0456494562684449
0.441,-0.045209689023256
0.442,-0.0447691932167586
0.443,-0.0443280903056169
0.444,-0.0438865062658833
0.445,-0.0434445701774644
0.446,-0.043002408231952
0.447,-0.0425601387348852
0.448,-0.0421178721525875
0.449,-0.04167571367392
0.45,-0.0412337640789441
0.451,-0.040792120386407
0.452,-0.0403508775372909
0.453,-0.0399101270798924
0.454,-0.0394699523308117
0.455,-0.0390304258474604
0.456,-0.0385916116294252
0.457,-0.0381535694960432
0.458,-0.0377163591439196
0.459,-0.0372800416713163
0.46,-0.0368446789224264
0.461,-0.0364103326742221
0.462,-0.0359770634347258
0.463,-0.0355449301515758
0.464,-0.0351139929004145
0.465,-0.0346843150003835
0.466,-0.0342559610274316
0.467,-0.0338289943093741
0.468,-0.0334034775386835
0.469,-0.0329794733271681
0.47,-0.0325570425241568
0.471,-0.0321362455214455
0.472,-0.0317171483126856
0.473,-0.0312998268739949
0.474,-0.03088436811155
0.475,-0.0304708714523282
0.476,-0.0300594488918116
0.477,-0.029650218027772
0.478,-0.0292432902012675
0.479,-0.0288387602470283
0.48,-0.0284367008226462
0.481,-0.0280371625586279
0.482,-0.027640179960358
0.483,-0.0272457774844019
0.484,-0.0268539718513254
0.485,-0.0264647749179635
0.486,-0.0260781986439335
