t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
1.12,0.348726728290656,-2.04780700257419,5.89379019373991,0.856015393492996,-10.2146328340846,18.4457018279154,-66.9179501510958
1.13,0.353917056378845,-2.14749366029083,6.08264380713632,0.180275521908078,-9.72693484761364,19.3826508495863,-68.3245010184341
1.14,0.35231308853077,-2.24247600825606,6.28247021083948,-0.500487974227473,-9.3072788310031,20.594223543099,-67.6367973265812
1.15,0.343963887237144,-2.33399061189718,6.49487167849803,-1.16565133807022,-9.03959319197454,21.8712623255653,-65.1247644750452
1.16,0.329112978506113,-2.42407423915492,6.71960870226277,-1.79787283606706,-9.14254811370411,22.8716245418247,-61.147588692757
1.17,0.308163258801526,-2.51896762077909,6.95012490132416,-2.38410439426765,-9.92999622401787,23.1627261340308,-56.0312004528218
1.18,0.281620902413454,-2.62550839626999,7.17996274928351,-2.91406186278858,-11.4400328256802,22.7936440011814,-50.0688556119044
1.19,0.250086422762815,-2.74947917674072,7.4055677301631,-3.3817328235758,-13.3891127684154,22.3919848361164,-43.5219558346084
1.2,0.214208674889821,-2.89381682742244,7.63016281861194,-3.78241748732677,-15.5075914961075,22.6884125694532,-36.6210888690161
1.21,0.174671257399911,-3.06022970432407,7.86330028850625,-4.1133228135821,-17.8305547328684,24.1610082046079,-29.5672657871959
1.22,0.132177509383953,-3.25120642238007,8.11715933922297,-4.37375227986841,-20.5948401509335,27.0854081845827,-22.5119637120968
1.23,0.0874334627553958,-3.4750411636421,8.41144011335535,-4.56295260459822,-24.1486290187518,31.8034224101622,-15.3718371043441
1.24,0.0411647950218611,-3.7325513771607,8.75173973759126,-4.67805044869478,-26.8734787663516,35.5268778678925,-7.72720135202238
1.25,-0.00586036369826189,-3.99684695142722,9.09727196157062,-4.71275668271046,-25.3541331893379,32.5813074985429,0.753027289252461
1.26,-0.0527961848663389,-4.23461729645861,9.3955032171788,-4.6591406450351,-22.2613881645425,27.1697001337589,9.96139986965625
1.27,-0.0987302664593143,-4.44530442374709,9.64591390822654,-4.51174777058333,-20.0518258323435,23.1958612068711,19.5294552333195
1.28,-0.142716594875843,-4.63867556911303,9.86447892343107,-4.26896284007065,-18.7421218444539,20.6596430511359,29.0144111748702
1.29,-0.183807222180559,-4.822615813656,10.063108776035,-3.93427005064033,-18.1410551024883,19.1416979222362,37.965122447241
1.3,-0.221115285115955,-5.00388249146569,10.2503581876562,-3.51511227757916,-18.2021647785002,18.4303435591323,45.9935559658034
1.31,-0.253855743487809,-5.18853749941445,10.4332252191414,-3.02175772373216,-18.8363761833157,18.3058914414595,52.8027969899844
