t,s,phi1,Ds,Dphi,u,DDs,DDphi
5.16533333333333,0.126787562535366,-0.17487619150391,0.958187583319414,-10.9461971641262,12.9840479057019,-1.37545654431018,11.991519842918
5.16666666666667,0.128063039267579,-0.189453117522741,0.956231116122679,-10.9296649259632,12.9763827882999,-1.66584420209136,13.3682306859278
5.168,0.129335328975144,-0.20400569889118,0.953903593356982,-10.9113682348317,12.9589788604422,-1.95463683411482,14.7311551435172
5.16933333333333,0.130603962029753,-0.218531727120207,0.951206155173989,-10.8913198755331,12.9319694647497,-2.24124587779199,16.0777416849318
5.17066666666667,0.131868474760523,-0.23302902701884,0.948140360349453,-10.8695345222993,12.8954717110349,-2.5251256440047,17.4056191831968
5.172,0.133128409453993,-0.247495456694149,0.944708186283213,-10.8460287387925,12.8495877348949,-2.80577376823469,18.7126004080187
5.17333333333333,0.134383314354125,-0.261928907551265,0.940912028999191,-10.8208209781055,12.7944027808066,-3.08273395778494,19.9966921801846
5.17466666666667,0.135632743662304,-0.27632730429334,0.936754703145402,-10.7939315827614,12.7299793982517,-3.35560154441571,21.2561135854541
5.176,0.136876257537341,-0.290688604921606,0.932239441993941,-10.7653827847138,12.6563604346576,-3.62402169807136,22.4892901997878
5.17733333333333,0.138113422095469,-0.305010800735336,0.927369897440991,-10.7351987053467,12.573586704112,-3.88767583100439,23.6948110336087
5.17866666666667,0.139343809410344,-0.319291916331855,0.922150140006819,-10.7034053554746,12.4817173739227,-4.14626594021221,24.8713796607308
5.18,0.140566997513047,-0.333530009606536,0.91658465883578,-10.6700306353421,12.3808365239621,-4.39950996982694,26.0178003232035
5.18133333333333,0.141782570392081,-0.347723171752806,0.910678361696315,-10.6351043346247,12.2710492843189,-4.64714526460395,27.1329890180032
5.18266666666667,0.142990117993373,-0.361869527262149,0.904436574980945,-10.5986581324279,12.1524787147863,-4.88893120647349,28.2159814907401
5.184,0.144189236220274,-0.375967233924075,0.89786504370629,-10.5607255972879,12.0252586585699,-5.12465474538378,29.2659494770322
5.18533333333333,0.145379526933558,-0.390014482826169,0.890969931513046,-10.5213421871712,11.8895183688155,-5.35414197225574,30.2822343353644
5.18666666666667,0.146560597951423,-0.404009498354061,0.883757820665995,-10.4805452494748,11.7453713134532,-5.57726601256376,31.2643680589057
5.188,0.14773206304949,-0.417950538191428,0.876235712054007,-10.438374021026,11.592922964653,-5.79394002627728,32.2120485280028
5.18933333333333,0.148893541960804,-0.431835893320012,0.868411025190034,-10.3948696280827,11.432293131002,-6.0040991722629,33.1250823384796
