t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
0.79,0.000242808352625337,0.00136371853167482,-0.00207785533187754,-0.0114829921976067,0.0429800163908215,-0.000996200286202247,-0.09657470172698
0.8,0.000123230169459654,0.00180144252020219,-0.00207878804823705,-0.012421249588427,0.044500205748689,0.000843277329365055,-0.091184989443178
0.81,-5.39770900592816e-06,0.00225252337888741,-0.00206058530045088,-0.0132863898479664,0.0456470506329805,0.00281038970567113,-0.0828691108998409
0.82,-0.000142196937726368,0.00271285338903803,-0.0020220677912949,-0.014050682104039,0.0463446515396113,0.00489125055772608,-0.0713898778636179
0.83,-0.000286008070636121,0.00317758299528164,-0.001962232262137,-0.0146858731941381,0.0465180306279612,0.0070692715396469,-0.0567335130293835
0.84,-0.00043539056064914,0.00364112080556592,-0.00188025149293705,-0.0151631876654364,0.0460931317208748,0.00932516224465747,-0.0390431157312559
0.85,-0.000588622759658883,0.00409713359115862,-0.00177547430224691,-0.0154533277747859,0.0449968203046618,0.0116369302050886,-0.0185252926273357
0.86,-0.000743701918727852,0.00453854628745342,-0.00164742554741496,-0.0155264734948703,0.0431568835466814,0.0139798808942981,0.00454034478014308
0.87,-0.000898425235268444,0.00495797555286127,-0.0014959711757777,-0.015358149464357,0.0405191575139292,0.016327982727292,0.0296951640035121
0.88,-0.00105015847047267,0.00534691086127606,-0.00132121239063391,-0.0149308265854764,0.0370529158604062,0.0186529739987713,0.0562529746092231
0.89,-0.00119612536008887,0.00569650108029876,-0.00112341120462979,-0.0142326274680907,0.032745645072882,0.0209253573361039,0.083378691856735
0.9,-0.00133366090788585,0.00599851744582495,-0.000903164494703622,-0.0132621841127061,0.0276165084441215,0.0231163801777843,0.110162935585956
0.91,-0.00146021138565286,0.00624535356204475,-0.000661404002085831,-0.0120286379104719,0.0217163460728845,0.0251980347734335,0.135618939825705
0.92,-0.00157333433319962,0.00643002540144284,-0.000399396332298941,-0.0105516396431816,0.0151276748639261,0.0271430581837992,0.158725898102947
0.93,-0.00167069855835632,0.00654617130479847,-0.000118742955157594,-0.00886134948327183,0.0079646885279968,0.0289249322807558,0.178576271382509
0.94,-0.00175014478362468,0.00658821385198658,0.00017865524071023,-0.00699580771271575,0.000365118584289536,0.0305182108442376,0.19448677772232
0.95,-0.00181015923086485,0.00655258962125809,0.0004908487944436,-0.00499118690485164,-0.0075402681262405,0.0319001689322312,0.205962796185875
0.96,-0.00184966105743011,0.00643719199151505,0.000815672677978934,-0.00289822961614989,-0.0155774606500263,0.0330494225060653,0.212619062825202
0.97,-0.00186802576241914,0.00624150282928714,0.00115076995472665,-0.000768214902907537,-0.0235726314294325,0.0339474599339362,0.214195531209591
0.98,-0.00186511430387408,0.00596667435416538,0.00149361019377683,0.00134924930379992,-0.0313589570399356,0.0345788912201373,0.21060642415052
0.99,-0.00184127309878058,0.00561552913880214,0.00184148946989921,0.00340622619811868,-0.0387766181901247,0.0349314480050589,0.201947229850187
1,-0.00179733402306773,0.00519256010891116,0.00219153036354319,0.00535645009941657,-0.0456727997217011,0.0349959835651881,0.18853962143382
1.01,-0.00173461353457459,0.004703926783251,0.0025406832195541,0.00715532880018228,-0.0519017040544959,0.0347664778726211,0.170977637398606
1.02,-0.00165470386059854,0.00415645181642276,0.00288614344495018,0.00876212168297737,-0.0573329631438248,0.0342413590651459,0.150021403224475
1.03,-0.00155983596183598,0.00355904158558325,0.00322498176908053,0.0101453172410992,-0.0618648939942097,0.0334205472416498,0.126431633868818
1.04,-0.00145254309339706,0.00292177510888763,0.00355405618043334,0.0112826031639109,-0.0654240407349662,0.032305184244855,0.100976480514388
1.05,-0.00133533105714469,0.00225460591819429,0.00387036042940404,0.0121609255698433,-0.0679672412169177,0.030899199932706,0.0745749360521854
1.06,-0.00121067820169457,0.00156736205906489,0.00417102402829534,0.012776489006395,-0.0694816270123956,0.0292093121783699,0.0483258643757036
1.07,-0.00108103542241517,0.000869746090764334,0.00445331225131722,0.0131347564501323,-0.0699846234152393,0.0272450268702362,0.0233232564187681
1.08,-0.000948826161427724,0.00017133508626078,0.00471462613458693,0.0132504493066894,-0.0695239494407963,0.0250186379119169,0.000407324876617633
1.09,-0.000816446407606246,-0.000518419367774368,0.00495250247612898,0.0131475474107682,-0.0681776178259217,0.0225452272222465,-0.0199830426462827
1.1,-0.000686213887537274,-0.00119036498789984,0.00516463389749755,0.0128578665205891,-0.066049310500496,0.0198421563727583,-0.0378131563253651
1.11,-0.000559800075007748,-0.0018373927599756,0.00534888268594738,0.0124031851784936,-0.0632129685112775,0.0169259393280348,-0.0533195607134846
1.12,-0.000438664098847725,-0.00245287590373969,0.00550302200291377,0.0118022989845069,-0.0597388495587475,0.0138186560435542,-0.066813363314073
