t,s,phi1,phi2,phi3,Ds,Dphi1,Dphi2,Dphi3,u
0.435,0.37321977022604,-0.590778347370735,-0.424842784186238,-0.132935226806668,1.57385770146868,-0.396818182488894,-2.85943211753473,-1.45215759248416,-9.58608841678504
0.44,0.380971134634406,-0.592317382035615,-0.439045664779491,-0.140292711579543,1.52352558242395,-0.203209509660629,-2.8402459844696,-1.48308096721717,-10.54385638181
0.445,0.388457960361255,-0.592867764579754,-0.4531392392412,-0.147797486918203,1.46836964448584,-0.00130531760275221,-2.81674051001977,-1.51112482318542,-11.5156209257514
0.45,0.39565446254187,-0.592378226081151,-0.467115170658766,-0.155430817941146,1.40838024186462,0.209315373209537,-2.78969858369903,-1.53634679675553,-12.4873854696927
0.455,0.402535809223836,-0.590799691625564,-0.48096402568596,-0.163176481545562,1.34358221129906,0.428939152369671,-2.75975548539282,-1.55887435106757,-13.4413100012407
0.46,0.409078121367041,-0.588085280306509,-0.494675274542922,-0.171020766407328,1.27403487205635,0.65771821953971,-2.72739888535818,-1.578904776035,-14.3952345327886
0.465,0.41525847284368,-0.584190305225259,-0.508237291016157,-0.178952472981011,1.19983202593221,0.895670384450346,-2.69296884422377,-1.59670518834472,-15.3022374329126
0.47,0.42105489043825,-0.579072273490847,-0.521637352458542,-0.186962913499865,1.12110195725077,1.1426790669009,-2.65665781298988,-1.61261253145703,-16.2092403330366
0.475,0.426446353847552,-0.572690886220061,-0.534861639789321,-0.195045911975832,1.03800743286468,1.39849329675933,-2.61851063302841,-1.62703357560567,-17.0409915714856
0.48,0.431412795680694,-0.565008038537449,-0.547895237494105,-0.203197804199543,0.950745702155019,1.6627277139622,-2.57842453608288,-1.64044491779779,-17.8727428099346
0.485,0.435935101459084,-0.555987819575315,-0.560722133624875,-0.211417437740319,0.859548497031356,1.93486256851474,-2.53614914426842,-1.65339298181396,-18.6018837838292
0.49,0.439995109616438,-0.545596512473724,-0.57332521979998,-0.219706171946166,0.764682031931723,2.21424372049078,-2.49128647007179,-1.66649401820817,-19.3310247577239
0.495,0.443575611498774,-0.533802594380496,-0.585686291204137,-0.228067877943783,0.666447003822621,2.5000826400328,-2.44329091635137,-1.68043410430782,-19.9335515595253
0.5,0.446660351364415,-0.520576736451211,-0.597786046588431,-0.236508938638553,0.56517859219902,2.7914564073519,-2.39146927633714,-1.69596914421374,-20.5360783613268
0.505,0.449234026383987,-0.505891803849205,-0.609604088270317,-0.24503824871455,0.461246459084359,3.0873077127278,-2.33498073363073,-1.71392486880019,-20.993473742138
0.51,0.451282286640421,-0.489722855745573,-0.621118922133616,-0.253667214634535,0.355054749030546,3.38644485650888,-2.27283686220537,-1.73519683571482,-21.4508691229492
0.515,0.452791735128954,-0.472047145319167,-0.632307957628518,-0.262409754639959,0.247042089117956,3.68754174911212,-2.2039016264059,-1.76075042937873,-21.7510027278289
0.52,0.4537534067221,-0.452850601304536,-0.643154459131487,-0.271283309068088,0.137593757587499,3.98911119885343,-2.12684826048842,-1.79137649735478,-22.0511363327086
0.525,0.454164352113748,-0.432145086648211,-0.653608867512392,-0.280317509624638,0.0270386733446994,4.28896052752064,-2.03907974043467,-1.8271311251981,-22.1897434707019
0.53,0.454020817757532,-0.409953227037246,-0.663587738214675,-0.289544368006606,-0.0842138769696633,4.58466359148827,-1.93759054067637,-1.86788736875085,-22.3283506086952
0.535,0.45332069599385,-0.386305263698177,-0.673003361228608,-0.298991962293211,-0.19576781394449,4.87396174760735,-1.8197485271185,-1.91340326213109,-22.3103780264142
0.54,0.452063544252134,-0.36123906738238,-0.681763867054823,-0.308684425383422,-0.307240827519616,5.1547647533027,-1.6832967629788,-1.96332114933881,-22.2924054441331
0.545,0.450250585050852,-0.334800138366079,-0.689773226704306,-0.318641944995962,-0.418264376985813,5.42515076657302,-1.52635350878783,-2.01716768425595,-22.1294745092507
0.55,0.447884705997505,-0.307041606450341,-0.696931251698402,-0.328880763669308,-0.528483690984786,5.68336634599081,-1.34741222238897,-2.07435383064638,-21.9665435743682
