t,x_1,x_2,x_3,u_1,u_2,u_3
0.27,0.6296941293791491,-4.407447508861046,26.883803934265856,0.0,0.0,0.0
0.2725,0.7505993563608336,-4.25148752937178,26.520437420801418,0.0,0.0,0.0
0.275,0.6379533090702411,-4.246663175478143,26.39281337820138,0.0,0.0,0.0
0.2775,0.5810596233491127,-4.227482359350869,26.284483551305446,0.0,0.0,0.0
0.28,0.4548969060689917,-4.2562399854120985,26.275357260974918,0.0,0.0,0.0
0.28250000000000003,0.29341032401928546,-4.203723908622993,26.09409122101894,0.0,0.0,0.0
0.28500000000000003,0.13462920786909965,-4.175271787297501,25.76247920823762,0.0,0.0,0.0
0.28750000000000003,0.11373312037841814,-4.191364365185564,25.73568122635011,0.0,0.0,0.0
0.29,-0.023302918562853676,-4.256279635646527,25.457045635989516,0.0,0.0,0.0
0.2925,-0.08917585633820967,-4.185105288259317,25.226267992007013,0.0,0.0,0.0
0.295,-0.2381871223832584,-4.160573871262742,25.100028026157982,0.0,0.0,0.0
0.2975,-0.4535903008998741,-4.105553400824107,24.95983353450162,0.0,0.0,0.0
0.3,-0.5283498596086397,-4.1044108018290055,24.81887717897228,0.0,0.0,0.0
0.3025,-0.5622490369304226,-4.152591748811995,24.700442415795866,0.0,0.0,0.0
0.305,-0.7081006989429204,-4.037754377033153,24.498108469997735,0.0,0.0,0.0
0.3075,-0.7981749458629956,-4.098921252098308,24.2975814315087,0.0,0.0,0.0
0.31,-0.8542125110515901,-4.18961653311768,24.18908229649937,0.0,0.0,0.0
0.3125,-0.9124928865922401,-4.107572900195556,24.03373126892871,0.0,0.0,0.0
0.315,-0.9626212157068772,-4.064951485871851,23.900904382182233,0.0,0.0,0.0
0.3175,-1.1125496277125613,-4.142282165830517,23.806197703729303,0.0,0.0,0.0
0.32,-1.252768152230441,-4.131486764704479,23.639227108292097,0.0,0.0,0.0
0.3225,-1.2281028997578443,-4.23998118449304,23.34641750081748,0.0,0.0,0.0
0.325,-1.1736333660515719,-4.220637057517891,23.236120072081896,0.0,0.0,0.0
0.3275,-1.2547553513865364,-4.176558575885999,23.10660202897425,0.0,0.0,0.0
0.33,-1.41784658740394,-4.102890404288814,23.01421175440215,0.0,0.0,0.0
0.3325,-1.3791282440118116,-4.108287816034617,22.878782228673792,0.0,0.0,0.0
0.335,-1.5067029974999364,-4.104506556669702,22.735781837408314,0.0,0.0,0.0
0.3375,-1.647584802313994,-4.240641759892651,22.540067105515003,0.0,0.0,0.0
0.34,-1.6650015864239855,-4.177441439756091,22.406306679221263,0.0,0.0,0.0
0.3425,-1.7627560006826888,-4.289140202176663,22.331062876747385,0.0,0.0,0.0
0.34500000000000003,-1.773192818296729,-4.3385914104642005,22.193870724366555,0.0,0.0,0.0
0.34750000000000003,-1.7542945390580575,-4.2656421006484715,22.073448288751443,0.0,0.0,0.0
0.35000000000000003,-1.8461260154168027,-4.283744532916269,21.995849160455894,0.0,0.0,0.0
0.3525,-1.7820155536893083,-4.266453056755427,21.91806698218085,0.0,0.0,0.0
0.355,-1.8792862909944228,-4.210496381879859,21.784998791619,0.0,0.0,0.0
0.3575,-1.9805407529223442,-4.126893211867274,21.62372937309927,0.0,0.0,0.0
0.36,-2.122397895150171,-4.15221350657663,21.481920966779317,0.0,0.0,0.0
0.3625,-2.1998837077797084,-4.390622508182427,21.369714297295268,0.0,0.0,0.0
0.365,-2.2734181544950918,-4.415381914917026,21.31121396230405,0.0,0.0,0.0
0.3675,-2.2393152126927824,-4.498232252585917,21.224214073727513,0.0,0.0,0.0
0.37,-2.3425642677850753,-4.450198182804308,20.998488825641285,0.0,0.0,0.0
0.3725,-2.438680424780985,-4.458802585013019,20.907432955905403,0.0,0.0,0.0
0.375,-2.4991191107640818,-4.457771435539906,20.79339412489701,0.0,0.0,0.0
0.3775,-2.412238225499293,-4.500240712242961,20.73123742402671,0.0,0.0,0.0
0.38,-2.5135588737366175,-4.627801798139227,20.670522326463388,0.0,0.0,0.0
0.3825,-2.5609622414071875,-4.610511554916583,20.52883722680506,0.0,0.0,0.0
0.385,-2.574989278699074,-4.679742090062768,20.287256202081757,0.0,0.0,0.0
0.3875,-2.8159088586138084,-4.77193271155948,20.11971015434245,0.0,0.0,0.0
0.39,-2.8142641768925754,-4.7064791494268965,20.11302773048961,0.0,0.0,0.0
0.3925,-2.8687086585107537,-4.706326677485324,19.990487370250616,0.0,0.0,0.0
0.395,-2.7842053882978766,-4.741576744202035,19.877333445005597,0.0,0.0,0.0
0.3975,-2.920226993904133,-4.912991486595398,19.77996383570954,0.0,0.0,0.0
0.4,-2.963119777204507,-4.939155180160813,19.723863471121923,0.0,0.0,0.0
0.4025,-2.963986079309449,-5.05040608127166,19.564793742081868,0.0,0.0,0.0
0.405,-3.0489505865321758,-5.134992300234627,19.523846466823315,0.0,0.0,0.0
0.40750000000000003,-3.084449126794481,-5.35161359767261,19.50648890332506,0.0,0.0,0.0
0.41000000000000003,-3.1417779614549515,-5.3052300739357054,19.449487598515514,0.0,0.0,0.0
0.41250000000000003,-3.2448080544798796,-5.1954021530245225,19.324560277220133,0.0,0.0,0.0
0.41500000000000004,-3.383165992414284,-5.215630474670272,19.305380675928777,0.0,0.0,0.0
0.4175,-3.267078714744649,-5.316637412155601,19.22820126005418,0.0,0.0,0.0
0.42,-3.428591041466381,-5.33874549471642,19.10358925114467,0.0,0.0,0.0
0.4225,-3.300684518464602,-5.330538464994407,18.934348309553414,0.0,0.0,0.0
0.425,-3.4487947231439735,-5.364992287970555,18.798248768285358,0.0,0.0,0.0
0.4275,-3.5524054641699188,-5.697399119889659,18.866744065427593,0.0,0.0,0.0
0.43,-3.605160078298849,-5.6681551212849,18.792653154376346,0.0,0.0,0.0
0.4325,-3.56584867452356,-5.756133314402237,18.606059208889597,0.0,0.0,0.0
0.435,-3.6253313862784045,-5.8585952140589574,18.508559766356537,0.0,0.0,0.0
0.4375,-3.833318188976995,-5.963037933105508,18.52307068036351,0.0,0.0,0.0
0.44,-3.840806327254589,-6.069837957494257,18.496292269450148,0.0,0.0,0.0
0.4425,-3.7768117211787287,-6.067434670762533,18.455251947394704,0.0,0.0,0.0
0.445,-3.8952786985613472,-6.028388690586766,18.337294823331924,0.0,0.0,0.0
0.4475,-3.9130333873707626,-6.182897277839175,18.114806129008002,0.0,0.0,0.0
0.45,-3.9671525560456677,-6.277117419416097,18.232229105160005,0.0,0.0,0.0
0.4525,-3.933548274923262,-6.433635713904308,18.16642753426791,0.0,0.0,0.0
0.455,-4.079541028022572,-6.40334419683645,18.18331916160206,0.0,0.0,0.0
0.4575,-4.107378921698415,-6.465561374506872,18.12575638921525,0.0,0.0,0.0
0.46,-4.259618944294434,-6.532762941807724,18.094894957369103,0.0,0.0,0.0
0.4625,-4.292864665532702,-6.494043955127977,17.950177835335293,0.0,0.0,0.0
0.465,-4.408448196918054,-6.787047296247857,17.973321124119085,0.0,0.0,0.0
0.4675,-4.468432294949435,-6.910017772739881,17.865155103602557,0.0,0.0,0.0
0.47000000000000003,-4.371205034942387,-6.972118724400653,17.615403808072774,0.0,0.0,0.0
0.47250000000000003,-4.4801186522514875,-7.123371854259121,17.690458234180895,0.0,0.0,0.0
0.47500000000000003,-4.550919890162015,-7.178717268858042,17.76991070203804,0.0,0.0,0.0
0.47750000000000004,-4.510580952487673,-7.328330863345357,17.7236007057944,0.0,0.0,0.0
0.48,-4.514395924777778,-7.370406589966827,17.60303716000328,0.0,0.0,0.0
0.4825,-4.722485322172168,-7.400578218435974,17.542286506423313,0.0,0.0,0.0
0.485,-5.020404354279337,-7.583994333462101,17.675841027157393,0.0,0.0,0.0
0.4875,-4.87582354770313,-7.841528298001,17.688248944715735,0.0,0.0,0.0
0.49,-4.899939768007721,-7.796996385315137,17.60723620938841,0.0,0.0,0.0
0.4925,-4.932446348558866,-7.798028052557514,17.557155856588167,0.0,0.0,0.0
0.495,-5.060054817812522,-7.950185790825069,17.414948011440448,0.0,0.0,0.0
0.4975,-5.156658241972614,-8.13732656050371,17.434641451781648,0.0,0.0,0.0
0.5,-5.1660408872534616,-8.148670969256811,17.518357198898283,0.0,0.0,0.0
0.5025000000000001,-5.325635847382424,-8.366639634032897,17.52596164868214,0.0,0.0,0.0
0.505,-5.4821649125726895,-8.632602453517208,17.49468231490481,0.0,0.0,0.0
0.5075000000000001,-5.477862712282473,-8.659307288564204,17.58532033153633,0.0,0.0,0.0
0.51,-5.605086445131301,-8.675318041159386,17.440238632010228,0.0,0.0,0.0
0.5125,-5.655294233489549,-8.822758833244775,17.410140326896915,0.0,0.0,0.0
0.515,-5.82450247266959,-8.957165850696825,17.556834818705923,0.0,0.0,0.0
0.5175,-5.907624962651773,-8.9355661682424,17.513908524638637,0.0,0.0,0.0
0.52,-5.913293022184297,-9.09041508721897,17.411929245343384,0.0,0.0,0.0
0.5225,-6.016103078562445,-9.260668490439178,17.49347474884284,0.0,0.0,0.0
0.525,-6.025034928502469,-9.488417647504871,17.61320246974702,0.0,0.0,0.0
0.5275,-6.287510485908427,-9.654822368388077,17.70626407568605,0.0,0.0,0.0
0.53,-6.321212739974337,-9.869490587924567,17.654432657291064,0.0,0.0,0.0
0.5325,-6.338274433683637,-9.900007216834195,17.65762326072203,0.0,0.0,0.0
0.535,-6.4619733909156745,-10.028156338587756,17.78407606149447,0.0,0.0,0.0
0.5375,-6.6349166558610495,-10.197699530648498,17.7616633768817,0.0,0.0,0.0
0.54,-6.638946537998813,-10.433996360500476,17.837057951546118,0.0,0.0,0.0
0.5425,-6.785727901608455,-10.461426788604086,17.77678399910337,0.0,0.0,0.0
0.545,-6.903720494979679,-10.540226720324156,17.988902158729427,0.0,0.0,0.0
0.5475,-7.048405964708113,-10.775124479528865,17.989633959660637,0.0,0.0,0.0
0.55,-7.13411752362491,-11.063896568648959,17.98596733189015,0.0,0.0,0.0
0.5525,-7.137323423893536,-11.091858385165722,18.201132002456074,0.0,0.0,0.0
0.555,-7.136783314835791,-11.07006994291405,18.22586187989229,0.0,0.0,0.0
0.5575,-7.217258048751758,-11.510958227311223,18.22380748611057,0.0,0.0,0.0
0.56,-7.3086400903155635,-11.422129223254862,18.431283552985246,0.0,0.0,0.0
0.5625,-7.497504106693828,-11.557827935295961,18.52813296393259,0.0,0.0,0.0
0.5650000000000001,-7.683557968537481,-11.95350750531976,18.499338571075164,0.0,0.0,0.0
0.5675,-7.845083189985918,-12.047274298141495,18.7021291139346,0.0,0.0,0.0
0.5700000000000001,-7.859772804704714,-12.102998433013669,18.821003345193862,0.0,0.0,0.0
0.5725,-7.881527550660682,-12.302240219777916,18.932613142150117,0.0,0.0,0.0
0.5750000000000001,-7.939063614093299,-12.495519236961773,18.874891134730117,0.0,0.0,0.0
0.5775,-8.163983053435704,-12.593545264468046,19.147746064065686,0.0,0.0,0.0
0.58,-8.276435784949388,-12.658115270988338,19.22901436387531,0.0,0.0,0.0
0.5825,-8.432478824818709,-12.843700681179543,19.344299065606876,0.0,0.0,0.0
0.585,-8.514091339739409,-13.047761089388292,19.57658866547202,0.0,0.0,0.0
0.5875,-8.552807553100173,-13.216794385938643,19.77711725331336,0.0,0.0,0.0
0.59,-8.518350978174926,-13.274467139089118,19.858973250821304,0.0,0.0,0.0
0.5925,-8.721255489862703,-13.489053607332533,20.05791461816614,0.0,0.0,0.0
0.595,-8.904846789209445,-13.621781027893668,20.313335950332885,0.0,0.0,0.0
0.5975,-9.118697458012628,-13.735792928138304,20.435882448697605,0.0,0.0,0.0
0.6,-9.330443322559614,-13.829455333671184,20.59351107069365,0.0,0.0,0.0
0.6025,-9.410923355850034,-14.062408525327426,20.76188603077779,0.0,0.0,0.0
0.605,-9.489815309983802,-14.259610219314224,20.918779682653444,0.0,0.0,0.0
0.6075,-9.536961816667134,-14.251406524880782,21.07056915197898,0.0,0.0,0.0
0.61,-9.549127952813526,-14.271341520715039,21.262516093799654,0.0,0.0,0.0
0.6125,-9.59404338291076,-14.398797645919325,21.49604988873997,0.0,0.0,0.0
0.615,-9.834243509360466,-14.578762946652796,21.78008024966569,0.0,0.0,0.0
0.6175,-10.06703358698617,-14.842762404811308,22.098075905280623,0.0,0.0,0.0
0.62,-10.271189174974241,-14.878789653818828,22.235837475490754,0.0,0.0,0.0
0.6225,-10.33805895329874,-14.848453605880204,22.521263683968282,0.0,0.0,0.0
0.625,-10.568828376886911,-15.16583607067787,22.750800535932925,0.0,0.0,0.0
0.6275000000000001,-10.531641849100897,-15.268315856620953,22.90085705556037,0.0,0.0,0.0
0.63,-10.53637533190227,-15.247301913034395,23.048158420513996,0.0,0.0,0.0
0.6325000000000001,-10.740514593452607,-15.368861291156476,23.306139316092814,0.0,0.0,0.0
0.635,-10.961775018849016,-15.441078357511328,23.687627560003346,0.0,0.0,0.0
0.6375000000000001,-11.03492493174695,-15.55147771402567,23.993065534240397,0.0,0.0,0.0
0.64,-11.220888461608356,-15.523027815264358,24.23004368745562,0.0,0.0,0.0
0.6425,-11.082502087372113,-15.547188465212601,24.496137619936643,0.0,0.0,0.0
0.645,-11.228532252586335,-15.702410307967659,24.69011211072847,0.0,0.0,0.0
0.6475,-11.493307924767569,-15.693691856127629,24.924967968954146,0.0,0.0,0.0
0.65,-11.662969390064147,-15.71353353423473,25.37825870710824,0.0,0.0,0.0
0.6525,-11.657151099719584,-15.857471105344857,25.48744135492086,0.0,0.0,0.0
0.655,-11.825961071580043,-15.844166993549475,25.838723669172417,0.0,0.0,0.0
0.6575,-11.686479389665983,-15.971812823927129,26.2378213616623,0.0,0.0,0.0
0.66,-11.914025743795333,-15.9096875791697,26.55580388445394,0.0,0.0,0.0
0.6625,-12.039349175456653,-15.93160176523099,26.837741860966755,0.0,0.0,0.0
0.665,-12.140478486100788,-15.968667699392533,27.165125706263833,0.0,0.0,0.0
0.6675,-12.148622598645384,-15.96072418889478,27.474383233150224,0.0,0.0,0.0
0.67,-12.265909672656656,-15.791003776030111,27.69192150421356,0.0,0.0,0.0
0.6725,-12.244039327896534,-15.720948320740238,28.01697674015807,0.0,0.0,0.0
0.675,-12.311318264163976,-15.725021282369092,28.35301334371602,0.0,0.0,0.0
0.6775,-12.453320850992332,-15.796488841559182,28.546011472403894,0.0,0.0,0.0
0.68,-12.645762554473299,-15.68772048495685,28.834686147164977,0.0,0.0,0.0
0.6825,-12.67396372184427,-15.635831115629651,29.158672806102768,0.0,0.0,0.0
0.685,-12.694078359913357,-15.399350080766196,29.509985519454187,0.0,0.0,0.0
0.6875,-12.893924642159627,-15.496537257876753,29.826391208603635,0.0,0.0,0.0
0.6900000000000001,-12.959820395569894,-15.377831953927325,30.099585022961527,0.0,0.0,0.0
0.6925,-13.072527973019858,-15.294845879882745,30.283368640412213,0.0,0.0,0.0
0.6950000000000001,-13.11637361533747,-15.077667666547644,30.61982490841864,0.0,0.0,0.0
0.6975,-13.185940810215172,-14.870711664711267,30.905324929547877,0.0,0.0,0.0
0.7000000000000001,-13.074057329165562,-14.818117200010812,31.140992071189316,0.0,0.0,0.0
0.7025,-13.175414419625202,-14.656508169641151,31.408413014801866,0.0,0.0,0.0
0.705,-13.040706697547016,-14.54424024897865,31.674747744174997,0.0,0.0,0.0
0.7075,-13.103149294830708,-14.180612359842737,32.036090066553655,0.0,0.0,0.0
0.71,-13.203892281187608,-14.07248314759097,32.35411131935883,0.0,0.0,0.0
0.7125,-13.209449211461553,-13.792254031503553,32.50232610525498,0.0,0.0,0.0
0.715,-13.189736696858356,-13.741843967307227,32.7790220199263,0.0,0.0,0.0
0.7175,-13.265381836849404,-13.469657194933662,32.99723294015768,0.0,0.0,0.0
0.72,-13.421614666556067,-13.206773958593967,33.19945854935778,0.0,0.0,0.0
0.7225,-13.377051082251523,-13.15992723412059,33.36960397119122,0.0,0.0,0.0
0.725,-13.318817372418334,-13.012306794568289,33.678032497932726,0.0,0.0,0.0
0.7275,-13.2613356522247,-12.796544973755836,33.861198338641124,0.0,0.0,0.0
0.73,-13.239441957539626,-12.571099703549795,33.866461231209286,0.0,0.0,0.0
0.7325,-13.293511466700384,-12.344451347686123,34.17582550465766,0.0,0.0,0.0
0.735,-13.293665217999424,-11.981481279511973,34.346517419582355,0.0,0.0,0.0
0.7375,-13.178209590228816,-11.79349933840242,34.34287622297527,0.0,0.0,0.0
0.74,-13.184698258468178,-11.532058305221287,34.620119908464325,0.0,0.0,0.0
0.7425,-13.101860257340425,-11.324926047834081,34.93679900552701,0.0,0.0,0.0
0.745,-13.129952872025747,-11.091299809428138,35.10630299807115,0.0,0.0,0.0
0.7475,-13.04412548691751,-10.8156273786035,35.167598067072085,0.0,0.0,0.0
0.75,-12.845925091448,-10.579798511654637,35.234145727049096,0.0,0.0,0.0
0.7525000000000001,-12.603327690598379,-10.357374498638675,35.41010330372973,0.0,0.0,0.0
0.755,-12.79464532458787,-10.061481537682495,35.37438692925835,0.0,0.0,0.0
0.7575000000000001,-12.816421488624153,-9.958141653207921,35.367399538605596,0.0,0.0,0.0
0.76,-12.780387681400285,-9.57199805177719,35.65969104597559,0.0,0.0,0.0
0.7625000000000001,-12.63102686518162,-9.368243151904679,35.72842039188955,0.0,0.0,0.0
0.765,-12.605985656199513,-9.165622487016963,35.55654794258618,0.0,0.0,0.0
0.7675000000000001,-12.434119355354634,-8.818529584291658,35.612493442938764,0.0,0.0,0.0
0.77,-12.161391346304272,-8.601368367801795,35.73257310280571,0.0,0.0,0.0
0.7725,-12.197884906792414,-8.362296384927,35.84513173122074,0.0,0.0,0.0
0.775,-12.12071036396788,-8.124656415032765,35.83769181185598,0.0,0.0,0.0
0.7775,-12.059420649709228,-7.719000788771669,35.70165612414946,0.0,0.0,0.0
0.78,-11.846149365171895,-7.577546491565854,35.84381614280277,0.0,0.0,0.0
0.7825,-11.793837732360675,-7.439291645081646,35.88933021342849,0.0,0.0,0.0
0.785,-11.825825774514987,-7.120788625277721,35.77182572608171,0.0,0.0,0.0
0.7875,-11.554083969708552,-6.805839799382923,35.767296674571874,0.0,0.0,0.0
0.79,-11.450843351549409,-6.699597241435829,35.5337634372976,0.0,0.0,0.0
0.7925,-11.418537961493618,-6.396961302127113,35.537423857155765,0.0,0.0,0.0
0.795,-11.213861845368326,-5.936738221471569,35.643637936212244,0.0,0.0,0.0
0.7975,-11.019998070701917,-5.819799495657604,35.604426767985316,0.0,0.0,0.0
0.8,-11.059367452346777,-5.544479855616911,35.37419950618861,0.0,0.0,0.0
0.8025,-10.945752250395108,-5.478328321809218,35.36177317504495,0.0,0.0,0.0
0.805,-10.567815035628593,-5.293244880973231,35.17642017203179,0.0,0.0,0.0
0.8075,-10.49626643815845,-5.01447264395915,35.12209749280295,0.0,0.0,0.0
0.81,-10.319587593164407,-5.01288602247873,35.15898032225189,0.0,0.0,0.0
