t,x_1,x_2,x_3,u_1,u_2,u_3
0.21,4.953066162155067,-4.205923369880328,32.46459419650599,0.0,0.0,0.0
0.2125,5.004938714947697,-4.326670487653596,32.13745182593808,0.0,0.0,0.0
0.215,4.617503106796201,-4.288608461610822,31.910328896313484,0.0,0.0,0.0
0.2175,4.287736191643699,-4.346047846181205,31.69488996568613,0.0,0.0,0.0
0.22,4.001539069670555,-4.399073990452244,31.208593041906113,0.0,0.0,0.0
0.2225,4.070253364927927,-4.336852784623779,31.132952982201424,0.0,0.0,0.0
0.225,4.038778921968678,-4.399983702369881,30.75587553611245,0.0,0.0,0.0
0.2275,3.5718935177059326,-4.397246980837337,30.55266192263513,0.0,0.0,0.0
0.23,3.7105499796137638,-4.371374292793308,30.312146650899354,0.0,0.0,0.0
0.2325,3.3395431046182904,-4.3514738856149915,30.171671215453436,0.0,0.0,0.0
0.23500000000000001,2.947632312413924,-4.410253906351037,29.99860345161496,0.0,0.0,0.0
0.23750000000000002,2.8410863392450483,-4.396117174550934,29.58051475109846,0.0,0.0,0.0
0.24,2.7497101816803635,-4.414747915853239,29.359618227963363,0.0,0.0,0.0
0.2425,2.4437934341221523,-4.504697717142334,29.13657219518611,0.0,0.0,0.0
0.245,2.478701687657001,-4.360102073424517,29.097494765221256,0.0,0.0,0.0
0.2475,2.2140740252854814,-4.4662194984378,28.63954241323916,0.0,0.0,0.0
0.25,2.037176274743023,-4.563247103868973,28.454558826322895,0.0,0.0,0.0
0.2525,2.0248638355449216,-4.194996587028132,28.338787028780118,0.0,0.0,0.0
0.255,1.6780765811630969,-4.36484811572545,28.18793524923584,0.0,0.0,0.0
0.2575,1.6618217952659116,-4.3268054217426855,27.805047115881486,0.0,0.0,0.0
0.26,1.2988080322904254,-4.407293916312997,27.73368741311905,0.0,0.0,0.0
0.2625,1.3146057697987759,-4.267463761254829,27.324823886948362,0.0,0.0,0.0
0.265,0.9852763855070678,-4.517711608199479,27.221916615101065,0.0,0.0,0.0
0.2675,1.0470867300394693,-4.273791682651009,27.0487636016181,0.0,0.0,0.0
0.27,0.8254197644021696,-4.263316043118423,26.91421378982859,0.0,0.0,0.0
0.2725,0.7668854281278381,-4.244455098622101,26.596609250350873,0.0,0.0,0.0
0.275,0.6821072830029665,-4.317082041111955,26.66165596889507,0.0,0.0,0.0
0.2775,0.5202451091836654,-4.455921966727295,26.3265897736422,0.0,0.0,0.0
0.28,0.47884258459701784,-4.30013477527339,26.091270057194144,0.0,0.0,0.0
0.28250000000000003,0.24919312475092437,-4.466047369565714,26.019347234837824,0.0,0.0,0.0
0.28500000000000003,0.11952390618343935,-4.31561692052594,25.869386557697432,0.0,0.0,0.0
0.28750000000000003,0.111889059332085,-4.069206755961515,25.502285802840365,0.0,0.0,0.0
0.29,-0.1003719164826989,-4.225645101143286,25.415972874424803,0.0,0.0,0.0
0.2925,0.03753042059350986,-4.078840263989047,25.272653985183382,0.0,0.0,0.0
0.295,-0.23507180476938355,-4.140962848223091,25.142656704440693,0.0,0.0,0.0
0.2975,-0.37368280730109293,-4.174309370218906,24.884492704585533,0.0,0.0,0.0
0.3,-0.527557792602244,-4.1285577204126245,24.81216208291003,0.0,0.0,0.0
0.3025,-0.5446570104197686,-4.088872908503332,24.549710684618432,0.0,0.0,0.0
0.305,-0.6674695895733014,-4.101475873284067,24.683309067799954,0.0,0.0,0.0
0.3075,-0.7666027779506084,-4.092240138320902,24.45291106664625,0.0,0.0,0.0
0.31,-0.6804207611820797,-4.054257294762448,24.331336101793443,0.0,0.0,0.0
0.3125,-0.8913529339468145,-4.168059099622675,24.061797407205525,0.0,0.0,0.0
0.315,-1.036123004651503,-4.096030229073387,23.866365792449013,0.0,0.0,0.0
0.3175,-1.039649189340586,-4.071737503411585,23.639430663674453,0.0,0.0,0.0
0.32,-1.0607076220749962,-4.214235877006743,23.66994093205588,0.0,0.0,0.0
0.3225,-1.2313494504858513,-4.056998389421695,23.49216580670779,0.0,0.0,0.0
0.325,-1.3969234540131048,-4.249868620109323,23.26730874918841,0.0,0.0,0.0
0.3275,-1.497196959771108,-4.076308029112839,23.22563945063132,0.0,0.0,0.0
0.33,-1.6660762519106023,-4.188955055268206,23.049029899883582,0.0,0.0,0.0
0.3325,-1.373551403682828,-4.225083811376414,22.899211333788152,0.0,0.0,0.0
0.335,-1.49795932552011,-4.365707733946458,22.689355371772624,0.0,0.0,0.0
0.3375,-1.5758874409008699,-4.055570950949286,22.43965009507774,0.0,0.0,0.0
0.34,-1.6945798069017288,-4.253487709254623,22.508264284626986,0.0,0.0,0.0
0.3425,-1.7407031109032605,-4.2409503659376,22.392619976195036,0.0,0.0,0.0
0.34500000000000003,-1.7528129204471032,-4.307322106687813,22.325415977838976,0.0,0.0,0.0
0.34750000000000003,-1.8525436248583254,-4.2242599026790195,21.931033103239855,0.0,0.0,0.0
0.35000000000000003,-2.0174390821282966,-4.200362577769527,22.101030756729692,0.0,0.0,0.0
0.3525,-2.0415747161552247,-4.307729643294744,21.93299367765867,0.0,0.0,0.0
0.355,-2.062687175013405,-4.216358305698694,21.580844295018647,0.0,0.0,0.0
0.3575,-1.9450050847371176,-4.18286086161927,21.637781242441495,0.0,0.0,0.0
0.36,-2.270960268954888,-4.192269062877707,21.490454688761705,0.0,0.0,0.0
0.3625,-2.209604729768453,-4.428934452093857,21.434698352890045,0.0,0.0,0.0
0.365,-2.3295560673042215,-4.5479610966266995,21.40441443506745,0.0,0.0,0.0
0.3675,-2.102838552282426,-4.345540193297459,21.043536973601586,0.0,0.0,0.0
0.37,-2.399956249098868,-4.5410472977959095,20.91295695535411,0.0,0.0,0.0
0.3725,-2.5245196736466644,-4.550988860047066,20.743538256904742,0.0,0.0,0.0
0.375,-2.3821622577185138,-4.717079170537487,20.922666571822838,0.0,0.0,0.0
