t,s,phi1,Ds,Dphi,u,DDs,DDphi
5.01466666666667,0.184645866374885,-0.825065294778884,0.365021364343358,-4.97737084854825,5.40673386299761,-2.94657329716806,30.9874035378047
5.016,0.185130177318887,-0.83167477115676,0.361166737315356,-4.9361591321623,5.45911478144401,-2.85411946763622,30.8727502168122
5.01733333333333,0.185609475136816,-0.838229296447574,0.357421384018439,-4.89506687453151,5.50699492070372,-2.76532027036271,30.7669387836528
5.01866666666667,0.186083899050503,-0.844729018092025,0.353779966638776,-4.85408182692186,5.54985095239596,-2.68046188555327,30.6704338844726
5.02,0.186553580101174,-0.851174068894791,0.350237064224277,-4.8131918270759,5.58717042640688,-2.59982022244219,30.5836595887714
5.02133333333333,0.187018641149449,-0.85756456702453,0.346787172684592,-4.77238479921271,5.61845732866351,-2.52365756542588,30.5069932704748
5.02266666666667,0.187479196875342,-0.863900616013869,0.343424704791115,-4.731648754028,5.64322627081065,-2.45222658918757,30.440775451172
5.024,0.187935353778266,-0.870182304759424,0.340143990176974,-4.69097178869396,5.66100653788199,-2.38576797430826,30.3853057858738
5.02533333333333,0.188387210177025,-0.876409707521788,0.336939275337043,-4.65034208685938,5.67135771089439,-2.32450062773444,30.3408238111808
5.02666666666667,0.188834856209822,-0.88258288392553,0.333804723627932,-4.6097479186496,5.67388046377598,-2.26861511997736,30.3074972836358
5.028,0.189278373834253,-0.888701878959204,0.330734415267991,-4.56917764066647,5.66821492136577,-2.21827514390442,30.2854276455439
5.02933333333333,0.189717836827308,-0.894766722975328,0.327722347337316,-4.52861969598851,5.65403427495864,-2.17362196355181,30.2746614535268
5.03066666666667,0.190153310785376,-0.900777431690413,0.324762433777739,-4.48806261417071,5.63104242778251,-2.13477623138421,30.2751960393266
5.032,0.190584853124237,-0.906734006184943,0.321848505392832,-4.44749501124463,5.59898011760068,-2.10183439522663,30.2869740916596
5.03333333333333,0.191012513079069,-0.912636432903382,0.318974309847908,-4.4069055897184,5.55763742745435,-2.07486109861823,30.3098705424147
5.03466666666667,0.191436331704445,-0.918484683654172,0.316133511670021,-4.36628313857671,5.50685789290845,-2.0538869740236,30.3436908211931
5.036,0.191856341874331,-0.924278715609733,0.313319692247964,-4.3256165332808,5.44652743006413,-2.0389160173391,30.3881881407733
5.03733333333333,0.192272568282092,-0.930018471306468,0.31052634983227,-4.28489473576846,5.37656557416155,-2.0299314041664,30.4430770381638
5.03866666666667,0.192685027440484,-0.935703878644748,0.307746899535217,-4.24410679445409,5.29692926386571,-2.02689334856559,30.5080309368595
5.04,0.193093727681661,-0.941334850888933,0.304974673330817,-4.20324184422859,5.20761600766861,-2.02973736483338,30.582680649629
5.04133333333333,0.193498669157171,-0.946911286667358,0.302202920054825,-4.16228910645943,5.108658028389,-2.03837818060993,30.6666237944025
5.04266666666667,0.193899843837958,-0.952433069972336,0.299424805404737,-4.12123788899066,5.00011321013039,-2.05271558949824,30.7594375058454
5.044,0.19429723551436,-0.957900070160164,0.296633411939786,-4.08007758614284,4.88205626847016,-2.07264008885611,30.8606901999479
5.04533333333333,0.194690819796112,-0.963312141951106,0.293821739080952,-4.03879767871318,4.75456633020743,-2.09804067998352,30.9699568573142
5.04666666666667,0.195080564112342,-0.968669125429415,0.290982703110949,-3.99738773397537,4.61771049672932,-2.12881507050636,31.0868380609073
5.048,0.195466427711575,-0.973970846043318,0.288109137174233,-3.95583740567966,4.47153549559498,-2.16487475420073,31.2109687422786
5.04933333333333,0.19584836166173,-0.979217114605024,0.285193791277001,-3.9141364340529,4.31607641929499,-2.20613947241466,31.3420071508377
5.05066666666667,0.196226308850123,-0.984407727290717,0.28222933228719,-3.87227464579846,4.15136996563215,-2.25252895881862,31.4796193953239
5.052,0.196600203983463,-0.989542465640561,0.279208343934477,-3.8302419540963,3.97745874046096,-2.30396027932132,31.6234747273083
5.05333333333333,0.196969973587855,-0.994621096558704,0.276123326810278,-3.78802835860288,3.79439236443402,-2.36034716429271,31.7732445901297
5.05466666666667,0.197335536008799,-0.999643372313259,0.272966698367755,-3.74562394545132,3.60223241201518,-2.42159699173686,31.9285975652036
5.056,0.197696801411192,-1.00460903053633,0.269730792921803,-3.70301888725122,3.40105416395442,-2.48760975189337,32.0891980301105
5.05733333333333,0.198053671779324,-1.009517794224,0.266407861649061,-3.66020344308875,3.19093637416246,-2.55828435665612,32.2547176621857
5.05866666666667,0.19840604091688,-1.01436937173631,0.262990072587907,-3.61716795852665,2.97194444472837,-2.6335289155684,32.4248532625358
5.06,0.198753794446942,-1.01916345679732,0.25946951063846,-3.57390286560418,2.74411888727721,-2.71326768939722,32.5993380620186
5.06133333333333,0.199096809811986,-1.02389972849503,0.255838177562581,-3.53039868283725,2.50747272214513,-2.79744253680898,32.7779431299784
5.06266666666667,0.199434956273884,-1.02857785128143,0.252087991983869,-3.48664601521825,2.26199585250109,-2.88601010958017,32.9604715260264
5.064,0.199768094913902,-1.03319747497251,0.248210789387664,-3.44263555421614,2.007659011663,-2.97893933797302,33.1467531857818
5.06533333333333,0.200096078632703,-1.0377582347482,0.244198322121045,-3.39835807777646,1.74440761563721,-3.07621506798964,33.3366502426451
5.06666666666667,0.200418752150343,-1.04225975115243,0.240042259392833,-3.35380445032128,1.47215322323135,-3.1778431219387,33.5300644412538
5.068,0.200735999814565,-1.04670166297097,0.235736201482828,-3.30896674900176,1.19078389345895,-3.28385671731862,33.7269468492415
5.06933333333333,0.201047911953619,-1.05108376833713,0.231285199737666,-3.26384573771101,0.900196723350843,-3.39435845742754,33.927366609671
5.07066666666667,0.201354246844998,-1.05540567678885,0.226684603994358,-3.21844028648556,0.600329665759958,-3.50936694503212,34.131255435822
5.072,0.201654701530679,-1.05966696102841,0.221927723642421,-3.17274839881893,0.291171539254509,-3.62885787630522,34.3384800644174
5.07333333333333,0.201948972831772,-1.06386719587376,0.217008090935098,-3.12676821181016,-0.0272474064247907,-3.75278416090143,34.5488773295933
5.07466666666667,0.202236757348522,-1.06800595825855,0.211919460989358,-3.0804979961637,-0.35487127130629,-3.88108553088186,34.7622706970493
5.076,0.202517751460304,-1.07208282723207,0.20665581178589,-3.03393615618941,-0.69163174390785,-4.01369654447692,34.9784835605704
5.07733333333333,0.202791651325629,-1.07609738395931,0.201211344169121,-2.98708122980268,-1.03745090287277,-4.15054826831445,35.1973421418403
5.07866666666667,0.20305815288214,-1.08004921172095,0.19558048184719,-2.93993188852427,-1.39223045414116,-4.29156182028521,35.4186657223873
5.08,0.203316951846614,-1.08393789591332,0.189757871391964,-2.8924869374804,-1.75583608640062,-4.43663903401634,35.6422528957725
5.08133333333333,0.20356774371496,-1.08776302404843,0.183738382239036,-2.8447453154027,-2.12809160481109,-4.58565902623526,35.8678773696449
5.08266666666667,0.20381022376222,-1.091524185754,0.177517106687725,-2.79670609462829,-2.50879190088005,-4.73848602553551,36.0953009097875
5.084,0.204044087042572,-1.09522097277338,0.171089359901072,-2.74836848109971,-2.89772793747589,-4.89498430933982,36.3242963526111
